Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR11352525_2	51.76569413895577	55.0	151.0	151	20.0	145916097.0
SRR11352526_1	45.39904883295591	53.0	151.0	151	10.0	147811941.0
SRR11352526_2	43.552446653331515	54.0	151.0	151	10.0	147811941.0
SRR11352527_1	52.92113003326311	51.0	151.0	151	30.0	117006878.0
SRR11352527_2	50.966312055094605	52.0	151.0	151	30.0	117006878.0
SRR11352528_1	57.583915009424494	53.0	151.0	151	30.0	142333530.0
SRR11352528_2	53.964672068963246	54.0	151.0	151	30.0	142333530.0
SRR11352529_1	70.37299655665586	51.0	151.0	151	40.0	98544252.0
SRR11352529_2	68.27477272728306	52.0	151.0	151	40.0	98544252.0
SRR11352530_1	66.69604642518696	50.0	151.0	151	40.0	104807327.0
SRR11352530_2	64.38836194251064	51.0	151.0	151	40.0	104807327.0
SRR11352531_1	47.69649287920286	53.0	151.0	151	10.0	135146386.0
SRR11352531_2	45.97908050121943	54.0	151.0	151	10.0	135146386.0
SRR11352532_1	57.395871479346134	53.0	151.0	151	20.0	151718854.0
SRR11352532_2	55.43155664482416	54.0	151.0	151	20.0	151718854.0
SRR11392157_1	45.69623476869076	51.0	151.0	151	20.0	125145504.0
SRR11392157_2	44.31299632466915	51.0	151.0	151	20.0	125145504.0
SRR11392158_1	48.6868130961655	51.0	151.0	151	20.0	107986504.0
SRR11392158_2	47.404995766929126	52.0	151.0	151	20.0	107986504.0
SRR11392159_1	58.38672196923787	52.0	151.0	151	30.0	124922632.0
SRR11392159_2	56.64335911670313	53.0	151.0	151	20.0	124922632.0
SRR11392160_1	66.27543266617249	52.0	151.0	151	30.0	143841103.0
SRR11392160_2	63.58927123288924	53.0	151.0	151	30.0	143841103.0
SRR11392161_1	48.07673235567466	51.0	151.0	151	20.0	165296776.0
SRR11392161_2	46.30115325522147	52.0	151.0	151	20.0	165296776.0
SRR11392162_1	42.100289047707996	51.0	151.0	151	20.0	151025537.0
SRR11392162_2	40.784286229106606	52.0	151.0	151	20.0	151025537.0
SRR11392163_1	43.65259844386784	51.0	151.0	151	20.0	152031335.0
SRR11392163_2	42.24024847709694	52.0	151.0	151	20.0	152031335.0
SRR11392164_1	61.002017503783264	53.0	151.0	151	30.0	132489658.0
SRR11392164_2	57.95391158735181	54.0	151.0	151	20.0	132489658.0
SRR11392165_1	50.08213386607991	52.0	151.0	151	30.0	125727859.0
SRR11392165_2	47.556627344581834	52.0	151.0	151	20.0	125727859.0
SRR11392166_1	56.678239878380325	52.0	151.0	151	30.0	137070390.0
SRR11392166_2	54.568356797075744	52.0	151.0	151	30.0	137070390.0
SRR11392167_1	56.42475092723115	52.0	151.0	151	30.0	143689386.0
SRR11392167_2	54.696381243474455	52.0	151.0	151	30.0	143689386.0
SRR11392168_1	52.47573454877823	51.0	151.0	151	30.0	155622156.0
SRR11392168_2	50.84817314997342	52.0	151.0	151	30.0	155622156.0
SRR11392169_1	51.76424640337407	52.0	151.0	151	30.0	139937532.0
SRR11392169_2	49.38060323002203	52.0	151.0	151	20.0	139937532.0
SRR11392170_1	51.09022221262795	51.0	151.0	151	30.0	161864554.0
SRR11392170_2	48.43459326950739	51.0	151.0	151	20.0	161864554.0
SRR11392171_1	60.82117389422149	51.0	151.0	151	30.0	130420689.0
SRR11392171_2	58.868401555501684	51.0	151.0	151	30.0	130420689.0
SRR11392172_1	35.735734863068245	51.0	151.0	151	20.0	100761399.0
SRR11392172_2	34.181371435906925	52.0	151.0	151	20.0	100761399.0
SRR11392173_1	49.527957509288754	52.0	151.0	151	20.0	128945080.0
SRR11392173_2	47.39252306141803	52.0	151.0	151	20.0	128945080.0
SRR11392174_1	48.3063738722316	52.0	151.0	151	20.0	135813965.0
SRR11392174_2	46.87995631779589	52.0	151.0	151	20.0	135813965.0
SRR11392175_1	59.15643188540904	51.0	151.0	151	30.0	138512636.0
SRR11392175_2	56.51879252456348	52.0	151.0	151	30.0	138512636.0
SRR11392177_1	57.65152987319795	52.0	151.0	151	30.0	203585131.0
SRR11392177_2	55.08461516568369	52.0	151.0	151	30.0	203585131.0
SRR11392178_1	63.88267250934857	52.0	151.0	151	40.0	106131414.0
SRR11392178_2	61.89133186425426	54.0	151.0	151	40.0	106131414.0
SRR11392179_1	41.73473988821386	52.0	151.0	151	20.0	122096548.0
SRR11392179_2	40.14867228379075	52.0	151.0	151	20.0	122096548.0
SRR11392180_1	40.97446636356019	51.0	151.0	151	20.0	111666816.0
SRR11392180_2	39.44779539568191	51.0	151.0	151	20.0	111666816.0
SRR11392181_1	26.66158690064438	50.0	151.0	151	20.0	70403371.0
SRR11392181_2	25.746800922100306	51.0	151.0	151	20.0	70403371.0
SRR11392182_1	52.4978946471477	51.0	151.0	151	30.0	206806695.0
SRR11392182_2	49.574695020270795	52.0	151.0	151	20.0	206806695.0
