# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSCAFG00000027783	ENSCAFT00000042066	rRNA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000028039	ENSCAFT00000042322	rRNA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000030936	ENSCAFT00000046993	rRNA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAK1	ENSCAFG00000003309	ENSCAFT00000005298	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AAK1	ENSCAFG00000003309	ENSCAFT00000044943	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCA9	ENSCAFG00000010877	ENSCAFT00000017373	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCA9	ENSCAFG00000010877	ENSCAFT00000049015	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD16A	ENSCAFG00000000607	ENSCAFT00000000934	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABHD6	ENSCAFG00000007394	ENSCAFT00000011854	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABI2	ENSCAFG00000012817	ENSCAFT00000020385	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABI2	ENSCAFG00000012817	ENSCAFT00000047789	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABI3BP	ENSCAFG00000009506	ENSCAFT00000015117	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABLIM2	ENSCAFG00000014530	ENSCAFT00000023075	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABLIM2	ENSCAFG00000014530	ENSCAFT00000045774	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ABLIM2	ENSCAFG00000014530	ENSCAFT00000046666	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ABR	ENSCAFG00000019060	ENSCAFT00000030275	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABR	ENSCAFG00000019060	ENSCAFT00000030278	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABTB2	ENSCAFG00000006977	ENSCAFT00000011214	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACADVL	ENSCAFG00000016016	ENSCAFT00000042985	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACHE	ENSCAFG00000014054	ENSCAFT00000022306	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACLY	ENSCAFG00000015818	ENSCAFT00000025093	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACLY	ENSCAFG00000015818	ENSCAFT00000045100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACTG1	ENSCAFG00000005734	ENSCAFT00000009239	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTG1	ENSCAFG00000005734	ENSCAFT00000024000	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTN2	ENSCAFG00000010822	ENSCAFT00000017321	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ADAM23	ENSCAFG00000013414	ENSCAFT00000021281	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ADAM33	ENSCAFG00000006234	ENSCAFT00000010090	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAMTS14	ENSCAFG00000014083	ENSCAFT00000022359	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAMTS14	ENSCAFG00000014083	ENSCAFT00000035862	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
