# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSCAFG00000022549	ENSCAFT00000034656	rRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000028753	ENSCAFT00000043246	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000031253	ENSCAFT00000047517	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000031880	ENSCAFT00000035050	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AADAT	ENSCAFG00000007683	ENSCAFT00000012298	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
AARS	ENSCAFG00000020132	ENSCAFT00000044908	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AASS	ENSCAFG00000003532	ENSCAFT00000005673	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AASS	ENSCAFG00000003532	ENSCAFT00000045610	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABAT	ENSCAFG00000019030	ENSCAFT00000030230	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCA13	ENSCAFG00000003334	ENSCAFT00000005349	protein_coding	1	1	1	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0	0
ABCA13	ENSCAFG00000003334	ENSCAFT00000044856	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCA8	ENSCAFG00000024916	ENSCAFT00000017436	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCB7	ENSCAFG00000017214	ENSCAFT00000027270	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCC11	ENSCAFG00000010061	ENSCAFT00000016007	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCC11	ENSCAFG00000010061	ENSCAFT00000049771	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCC3	ENSCAFG00000017201	ENSCAFT00000027259	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCC3	ENSCAFG00000017201	ENSCAFT00000046338	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
